date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:39	307938/307938	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2006:26:38%20GMT	https://www.jbhifi.com.au/window.location.toString(	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/window.location.toString(	(from https://www.jbhifi.com.au/)
12:11:40	3830/3830	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2020%20Mar%202025%2006:26:39%20GMT	https://www.jbhifi.com.au/checkouts/internal/preloads.js?locale=en-AU	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/checkouts/internal/preloadse2d4.js	(from https://www.jbhifi.com.au/)
12:11:41	9652/9652	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2004%20Feb%202025%2015:51:48%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	C:/My%20Web%20Sites/JB%20Hi-Fi/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	(from https://www.jbhifi.com.au/)
12:11:41	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:41%20GMT	http://www.jbhifi.com.au/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307.js	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307.js	(from https://www.jbhifi.com.au/)
12:11:41	12948/12948	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2018%20Mar%202025%2006:49:37%20GMT	https://www.jbhifi.com.au/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307.js	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307.js	(from https://www.jbhifi.com.au/)
12:11:42	258055/258055	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2020%20Mar%202025%2006:20:18%20GMT	https://www.jbhifi.com.au/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	(from https://www.jbhifi.com.au/)
12:11:42	12290/12290	---MCZ	200	added ('OK')	text/css	date:Thu,%2020%20Mar%202025%2006:23:20%20GMT	https://www.jbhifi.com.au/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css	(from https://www.jbhifi.com.au/)
12:11:42	10215/10215	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c88d625098ddb649cf216dba2e52435c%22	https://static.zdassets.com/ekr/snippet.js?key=12d013c2-9c7b-411c-a898-71d3b0afa385	C:/My%20Web%20Sites/JB%20Hi-Fi/static.zdassets.com/ekr/snippet6fb8.js	(from https://www.jbhifi.com.au/)
12:11:44	307949/307949	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2006:26:43%20GMT	https://www.jbhifi.com.au/trident/	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/trident/index.html	(from https://www.jbhifi.com.au/)
12:11:44	147048/147048	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2017%20Mar%202025%2021:57:41%20GMT	https://js.monitor.azure.com/scripts/b/ai.3.gbl.min.js	C:/My%20Web%20Sites/JB%20Hi-Fi/js.monitor.azure.com/scripts/b/ai.3.gbl.min.js	(from https://www.jbhifi.com.au/)
